ID,Country of Residence,Nationality,Gender,Age,Marital status,Field of Research,Designation [Career Stage],Work environment,Please indicate the total number of MALE group leaders/ bosses you have worked with.,Please indicate the total number of FEMALE group leaders/ bosses you have worked with.,Please indicate below the gender of your current boss.,Indicate the level of support that you have received from your MALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Friends],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Friends],Have you faced workplace gender-bias/discrimination?  [Male collegue],Have you faced workplace gender-bias/discrimination?  [Female collegue],"If you have answered yes in the previous question, please specify from the following :",Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Male],Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Female],"If you have answered yes in the previous question, please specify from the following :",Did you personally respond to the incident?,Did you report the issue to the appropriate authority? ,Who is responsible for addressing such complaints in your work environment? ,How seriously were your complaints taken? ,How comfortable were you in objecting against and/or reporting this issue?,"Was there any POSITIVE impact/outcome from reporting the incident? (e.g. positive change in policy, setting an example for others, support from colleagues, better work environment etc.)","Was there any NEGATIVE impact/outcome from reporting the incident? (e.g. threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment etc.)",Who would you choose/prefer to work with? [Male boss/leader],Who would you choose/prefer to work with? [Female boss/leader],"How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Male collegues]","How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Female collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Male collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Female collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Male collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Female collegues]","If you volunteer for the above mentioned activities, please tell us what incentivizes you.","If you don't volunteer for the above mentioned activities, please tell us your reasons below. ",Have you ever been involved in activities or events to specifically to show support towards your female colleagues or colleagues from other minority groups?,"If your response to the previous question is YES, please provide more details about 'your involvement', 'nature of the event/activity', and 'impact of the event/activity'?",What kind of support at a workplace is most important for empowering female employees or employees from other minority groups?,Do you feel your workplace policies help you manage your professional and personal life?,"What is your group leader’s attitude towards personal leave (pregnancy, maternity/paternity leave, adoption, illness, family etc.) ?",Does your workplace offer sufficient leave of absence for personal reasons?  [Maternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Paternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Sick leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Family Leave],Does your workplace offer one or several of the following childcare and related support?
27,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,1,Male,Always,Mostly,Not Available,Always,Always,Always,Mostly,Moderately,Always,Not Available,Always,Always,Not Available,Always,No,No,,No,Yes,"Gender bias, Emotional harrassment","Yes, I immediately responded.",It was mostly talking very ill of the colleague behind her back. I responded but there is no way to report this kind of behaviour.,I don't know.,,Not comfortable,,,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,I am not very interested ,"No, but I want to get involved",,"Having good daycare facilities, nursing room at work site for mothers. Similarly facilities for mensurating women indicate that workplace considers women a natural part of workforce. Active and engaged mentorship is the biggest need but that is lacking for all academic trainees regardless of gender/identity status.",Mostly,Supportive,Insufficient,None,Insufficient,Insufficient,"Nursing room(s), University provides childcare but it is 10 mins away from campus and has a long waiting list"
28,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,2,3,Male,Rarely,Mostly,Rarely,Moderately,Mostly,Mostly,Mostly,Always,Mostly,Moderately,Always,Always,Always,Always,Yes,Not sure,Gender Bias,Yes,Not sure,Gender bias,"No, I was afraid of furthering the issue.","No, I did not know whom to report.",I don't know.,,Not comfortable,No,No,Maybe,Yes,Mostly,Sometimes,Sometimes,Sometimes,Sometimes,Mostly,,,Yes,,,Rarely,Unwelcome,Insufficient,Insufficient,Insufficient,Insufficient,Nursing room(s)
29,India,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Assistant Professor,University,2,0,Male,Always,Moderately,Mostly,Always,Always,Not Available,Always,Moderately,Moderately,Mostly,Mostly,Always,Not Available,Mostly,No,No,,No,Not sure,,"Yes, I immediately responded.","Yes, I reported the issue.",Designated committee,Strict actions were taken.,Very comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, received support from others and set an example",No,Yes,No,Sometimes,Sometimes,Sometimes,Sometimes,Mostly,Always,I get appreciation for my work done,,Yes,Open talks on sexual harassment and making students aware of it,adjustments in timing,Sometimes,Supportive,Sufficient,None,Insufficient,Insufficient,"Flexible HR policy or other administrative support, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness"
30,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Research coordinator ,University,3,2,Male,Mostly,Mostly,Not Available,Not Available,Not Available,Rarely,Moderately,Moderately,Moderately,Not Available,Moderately,Not Available,Not Available,Mostly,Not sure,Not sure,,Not sure,Not sure,,,,Human Resources,,,,,Yes,No,Sometimes,Sometimes,Rarely,Mostly,Sometimes,Mostly,Helps lab work smoothly for good of everyone.,,"No, I don’t have such opportunities",,Helping them manage their time with kids. Having the option of flexible timings and day care facilities within re building.,Sometimes,Neutral,Insufficient,Insufficient,Insufficient,Insufficient,Changing platform for babies only in ladies toilets
31,Canada,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Freelance medical writer,Freelance,3,1,Female,Moderately,Moderately,Always,Not Available,Always,Not Available,Moderately,Never,Mostly,Not Available,Not Available,Always,Not Available,Always,Yes,No,Gender Bias,Yes,No,"Gender bias, Physical harrassment, Emotional harrassment, Mental harrassment","Yes, I immediately responded.","Yes, I reported the issue.",Designated committee,Strict actions were taken.,Very comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, A strict warning was given to the people involved by the designated committee",No,Yes,Yes,Always,Always,Never,Never,Never,Never,,,"No, I don’t have such opportunities",,,"I do freelance work now but if I had continued in research, there would be no work life balance",My last boss was not happy about personal leave and was disrespectful about maternity leave,Sufficient,Sufficient,Sufficient,Sufficient,Flexible HR policy or other administrative support
32,Canada,Canada,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,3,1,Female,Not Available,Mostly,Moderately,Mostly,Moderately,Always,Mostly,Not Available,Mostly,Moderately,Mostly,Not Available,Not Available,Mostly,Yes,Yes,Gender Bias,Yes,Yes,Gender bias,"Yes, but I responded later.","Yes, I reported the issue.","Colleague, Supervisor, Designated committee",Strict actions were taken.,Somewhat comfortable,Change in who was working on the team,No,No,No,Sometimes,Sometimes,Rarely,Mostly,Sometimes,Mostly,It's rasi r to have reagents available as it means that experiment length is easier to approximate ,,Yes,Women in stem committees and events ,People outside of those groups in power positions championing those who are minority and/or women. ,Always,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, Changing platform for babies only in ladies toilets"
33,United States,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,University,3,2,Female,Always,Moderately,Always,Always,Mostly,Not Available,Moderately,Mostly,Moderately,Not Available,Mostly,Mostly,Always,Moderately,Yes,Yes,"Gender Bias, Emotional harrassment, Mental harrassment",Yes,Yes,"Gender bias, Emotional harrassment, Mental harrassment","No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.","Human Resources, I don't know.",,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,Yes,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,i save time for myself by volunteering for lab activities and build my network through organizing outings/distributing flyers.,,Yes,I run several initiatives in my non-profit organization. My work approach involves agile management strategy and that has resulted in higher number of female colleagues to take leadership roles in these initiatives. ,I believe in providing freedom and encouragement to help female/minority colleagues build upon their vision/innovation.  ,Rarely,Unwelcome,Insufficient,None,Sufficient,None,"Career support programs (meeting, workshop etc.) to empower working mothers, Nursing room(s), Changing platform for babies only in ladies toilets, Changing platform for babies in both gents/ ladies toilets"
34,United Kingdom,United Kingdom,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Researcher Developer/ Careers Consultant,University,6,3,Female,Always,Mostly,Not Available,Mostly,Not Available,Always,Mostly,Mostly,Mostly,Not Available,Mostly,Not Available,Not Available,Always,Not sure,Not sure,,Not sure,Not sure,,,,,,,,,Yes,Maybe,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,,,"No, I don’t have such opportunities",,Equality in all shapes and forms,Sometimes,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, Career support programs (meeting, workshop etc.) to empower working mothers, On-site or subsidized childcare (nursery, kindergarten)"
35,Ireland,Ireland,Male,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,Industry,4,3,Female,Always,Mostly,Moderately,Always,Always,Not Available,Mostly,Always,Mostly,Moderately,Always,Always,Not Available,Mostly,No,Yes,Gender Bias,Yes,Yes,Gender bias,"No, she was my boss so it would have been bad for my career to challenge her anti-male sexism.","No, I was afraid of being misjudged.","Colleague, Supervisor, Human Resources","As I said, I did not voice my complaints.",Not comfortable,"I did not report the incidents. I did however receive tremendous support from family and friends when I mentioned it outside of work. Many were surprised that I faced discrimination as a man, which is sad.","No, but that female boss fired me without good cause. I felt that challenging this would mean I would not get a good reference and that it would damage my career. It was terrible.",Yes,Yes,Sometimes,Mostly,Sometimes,Sometimes,Mostly,Sometimes,The wish to be of help to everyone in the group.,,"No, I don’t have time for such activities",,"Treating them as equals - they deserve no special treatment. It causes enormous resentment when women (or men) are preferentially given unfair/special advantages. You do not help the cause of women by discriminating against men!
One other quick point - women become pregnant, so there should be good/fair pregnancy policies available.",Sometimes,Supportive,Sufficient,Sufficient,Sufficient,Insufficient,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support, Occupational health assessments for pregnant women so their lab work does not place them or their child at risk."
36,Canada,United States,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,2,0,Male,Not Available,Moderately,Not Available,Moderately,Never,Rarely,Never,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Not sure,Gender Bias,Not sure,Not sure,,"No, I did not bother.","No, I did not bother to report.",I don't know.,No actions were taken.,Not comfortable,,,Yes,Yes,Mostly,Always,Sometimes,Mostly,Sometimes,Always,,,Yes,AWIS in graduate school,Equal leadership opportunities and a level lab standard for everyone,Always,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,Extension of work contract to cover the personal leave
37,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Non-profit institution,3,2,Male,Moderately,Moderately,Moderately,Mostly,Mostly,Always,Mostly,Moderately,Mostly,Rarely,Never,Always,Not Available,Mostly,Yes,Yes,"Gender Bias, Power plays, superiority use in making important decisions at work.",Not sure,Yes,Different treatments to different researchers depending on the seniority and importance of their position.,"Yes, I immediately responded.",Reported anonymously once.,"Supervisor, Human Resources",No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, The way people talked to me after reporting the incident was way different than before.",Maybe,Yes,Sometimes,Mostly,Rarely,Mostly,Rarely,Mostly,Appreciation.,When you arent appreciated by your superiors.,"No, but I want to get involved",,"Proving them equal treatment, inspiring or motivating them.",Sometimes,Neutral,Insufficient,Insufficient,Sufficient,Sufficient,"Nursing room(s), Changing platform for babies only in ladies toilets"
38,India,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,5,1,Male,Moderately,Moderately,Not Available,Moderately,Always,Mostly,Moderately,Moderately,Moderately,Not Available,Moderately,Always,Mostly,Mostly,Yes,Not Available,"Gender Bias, Emotional harrassment, Mental harrassment",No,Yes,"Gender bias, Emotional harrassment, Mental harrassment","No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.",I don't know.,None,Not comfortable,No,No,Maybe,Maybe,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,Always,The belongingness,,"No, I don’t have such opportunities",,Understanding their problems and the way they function ,Sometimes,Supportive,Sufficient,None,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten)"
39,Canada,India,Female,30 - 40,Common Law ,"Science, Technology, Engineering, Mathematics [STEM]",Administrative,Healthcare organization,3,2,Female,Always,Always,Not Available,Always,Not Available,Always,Always,Always,Always,Not Available,Always,Always,Not Available,Always,Not sure,Not sure,,Not sure,Not sure,,,,"Supervisor, Human Resources",,,,,Yes,Yes,Always,Always,Sometimes,Mostly,Sometimes,Mostly,"No incentives as such. I do it for greater good. Thankless jobs such as cleaning, organizing doesn't incentivize much :)",,Yes,I am part of Women in Science - building networks group. ,Respect and equity,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Insufficient,"On-site or subsidized childcare (nursery, kindergarten)"
40,Sri Lanka,Sri Lanka,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,4,2,Male,Rarely,Never,Moderately,Mostly,Rarely,Not Available,Always,Always,Moderately,Moderately,Moderately,Always,Not Available,Moderately,Yes,No,"Gender Bias, Emotional harrassment, Mental harrassment",Yes,Yes,"Gender bias, Mental harrassment","Yes, but I responded later.","No, I was afraid of being misjudged.",Supervisor,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, Negative impact on reco letter and publications",No,Yes,Mostly,Rarely,Sometimes,Sometimes,Rarely,Sometimes,,Blaming by other colleagues ,Yes,"Emotional support, harassment by boss/ male colleagues, colleague felt demotivated","Career advice, emotional support, scientific collaboration",Never,Unwelcome,Insufficient,None,Insufficient,Insufficient,Flexible HR policy or other administrative support
41,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,Industry,2,1,Male,Rarely,Moderately,Not Available,Moderately,Always,Always,Mostly,Moderately,Moderately,Not Available,Not Available,Always,Not Available,Mostly,Yes,No,Gender Bias,Yes,No,Gender bias,"Yes, I immediately responded.","No, I did not bother to report.",Human Resources,No actions were taken.,Somewhat comfortable,No,No,Maybe,Maybe,Mostly,Rarely,Rarely,Rarely,Rarely,Rarely,,Don't feel aligned with company culture,"No, but I want to get involved",,Strict action against racist and sexist comments,Sometimes,Supportive,None,None,None,Insufficient,None
42,Germany,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,3,1,Male,Always,Always,Not Available,Not Available,Always,Always,Mostly,Moderately,Mostly,Not Available,Not Available,Always,Not Available,Mostly,No,Yes,"Emotional harrassment, Mental harrassment",Yes,Yes,"Emotional harrassment, Mental harrassment","No, I was afraid of furthering the issue.","No, I did not bother to report.",Designated committee,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,"No, I don’t have such opportunities",,,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten)"
43,India,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Administrative,Non-profit institution,3,1,Female,Mostly,Always,Mostly,Mostly,Always,Mostly,Always,Mostly,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Yes,Yes,"Gender Bias, Emotional harrassment",Yes,Not sure,"Gender bias, Emotional harrassment","No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",I don't know.,na,Somewhat comfortable,na,na,Yes,Yes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,recognition ,burden ,Yes,,feeling of equal and belongingness,Sometimes,Neutral,Insufficient,Insufficient,Insufficient,Insufficient,None
